Name of College,Email
Ivy Tech Community College,admissions@ivytech.edu 
Manchester University,admissions@manchester.edu 
Marian University Indianapolis,admissions@marian.edu 
University of Notre Dame,admissions@nd.edu 
Oakland City University,admissions@oak.edu 
Purdue University North Central,admissions@pnc.edu 
Purdue University,admissions@purdue.edu 
Purdue University Calumet,admissions@purduecal.edu 
Rose-Hulman Institute of Technology,admissions@rose-hulman.edu 
Saint Mary’s College,admissions@saintmarys.edu 
Trine University,admissions@trine.edu 
University of Indianapolis,admissions@uindy.edu 
University of Southern Indiana,admissions@usi.edu 
Valparaiso University,admissions@valpo.edu 
Wabash College,admissions@wabash.edu 
Benedictine College,admissions@benedictine.edu 
Butler Community College,admissions@butlercc.edu 
Emporia State University,admissions@emporia.edu 
Fort Hays State University,admissions@fhsu.edu 
Flint Hills Technical College,admissions@fhtc.edu 
Fort Scott Community College,admissions@fortscott.edu 
Garden City Community College,admissions@gcccks.edu 
Hesston College,admissions@hesston.edu 
Highland Community College,admissions@highlandcc.edu 
Johnson County Community College,admissions@jccc.edu 
Kansas City Kansas Community College,admissions@kckcc.edu 
Kansas State University,admissions@k-state.edu 
The University of Kansas,admissions@ku.edu 
McPherson College,admissions@mcpherson.edu 
Neosho County Community College,admissions@neosho.edu 
Newman University,admissions@newmanu.edu 
Pittsburg State University,admissions@pittstate.edu 
Saint Paul School of Theology and Ministry,admissions@spst.edu 
Sterling College,admissions@sterling.edu 
University of Saint Mary,admissions@stmary.edu 
Washburn University,admissions@washburn.edu 
Washburn University School of Law,admissions@washburnlaw.edu 
Wichita State University,admissions@wichita.edu 
Asbury University,admissions@asbury.edu 
Bellarmine University,admissions@bellarmine.edu 
Berea College,admissions@berea.edu 
Centre College,admissions@centre.edu 
Eastern Kentucky University,admissions@eku.edu 
Frontier Nursing University,admissions@frontier.edu 
Georgetown College,admissions@georgetowncollege.edu 
Kentucky Community and Technical College System,admissions@kctcs.edu 
Kentucky Christian University,admissions@kcu.edu 
Kentucky State University,admissions@kysu.edu 
Lindsey Wilson College,admissions@lindsey.edu 
The University of Louisville,admissions@louisville.edu 
Midway College,admissions@midway.edu 
Morehead State University,admissions@moreheadstate.edu 
Murray State University,admissions@murraystate.edu 
Northern Kentucky University,admissions@nku.edu 
The Southern Baptist Theological Seminary,admissions@sbts.edu 
Saint Catharine College,admissions@sccky.edu 
Sullivan University,admissions@sullivan.edu 
University of the Cumberlands,admissions@ucumberlands.edu 
Western Kentucky University,admissions@wku.edu 
Bossier Parish Community College,admissions@bpcc.edu 
Centenary College of Louisiana,admissions@centenary.edu 
Louisiana Tech University,admissions@latech.edu 
Louisiana Culinary Institute,admissions@lci.edu 
University of Louisiana Lafayette,admissions@louisiana.edu 
Loyola University New Orleans,admissions@loyno.edu 
Louisiana State University,admissions@lsu.edu 
Louisiana State University – Eunice,admissions@lsue.edu 
LSU Health Sciences Center – New Orleans,admissions@lsuhsc.edu 
LSU Health Sciences Center – New Orleans,admissions@lsuhscshreveport.edu 
Louisiana State University System,admissions@lsusystem.edu 
Nicholls State University,admissions@nicholls.edu 
New Orleans Baptist Theological Seminary,admissions@nobts.edu 
Nunez Community College,admissions@nunez.edu 
Southeastern Louisiana University,admissions@southeastern.edu 
Southern University,admissions@subr.edu 
Tulane University,admissions@tulane.edu 
University of Louisiana at Monroe,admissions@ulm.edu 
University of New Orleans,admissions@uno.edu 
Xavier University of Louisiana,admissions@xula.edu 
Amherst College,admissions@amherst.edu 
Assumption College,admissions@assumption.edu 
Babson College,admissions@babson.edu 
Boston College,admissions@bc.edu 
Bentley University,admissions@bentley.edu 
Berklee College of Music,admissions@berklee.edu 
Berkshire Community College,admissions@berkshirecc.edu 
The Boston Conservatory,admissions@bostonconservatory.edu 
Brandeis University,admissions@brandeis.edu 
Bridgewater State University,admissions@bridgew.edu 
Boston University,admissions@bu.edu 
Cambridge College,admissions@cambridgecollege.edu 
Clark University,admissions@clarku.edu 
Curry College,admissions@curry.edu 
Elms College,admissions@elms.edu 
Emerson College,admissions@emerson.edu 
Emmanuel College,admissions@emmanuel.edu 
Endicott College,admissions@endicott.edu 
Fitchburg State University,admissions@fitchburgstate.edu 
Framingham State University,admissions@framingham.edu 
Gordon Conwell Theological Seminary,admissions@gordonconwell.edu 
Gordon College,admissions@gordon.edu 
Hampshire College,admissions@hampshire.edu 
Harvard University,admissions@harvard.edu 
Harvard Business School,admissions@hbs.edu 
College of the Holy Cross,admissions@holycross.edu 
Lesley University,admissions@lesley.edu 
Massachusetts Maritime Academy,admissions@maritime.edu 
Massachusetts Department of Higher Education,admissions@mass.edu 
Massachusetts College of Art and Design,admissions@massart.edu 
MassBay Community College,admissions@massbay.edu 
Marine Biological Laboratory,admissions@mbl.edu 
Merrimack Education Center,admissions@mec.edu 
Merrimack College,admissions@merrimack.edu 
MGH Institute of Health Professions,admissions@mghihp.edu 
Milton Academy,admissions@milton.edu 
Massachusetts Institute of Technology,admissions@mit.edu 
Montserrat College of Art,admissions@montserrat.edu 
Mount Ida College,admissions@mountida.edu 
Mount Holyoke College,admissions@mtholyoke.edu 
Middlesex Community College,admissions@mxcc.edu 
Middlesex School,admissions@mxschool.edu 
North Bennet Street School,admissions@nbss.edu 
New England Law – Boston,admissions@nesl.edu 
Northeastern University,admissions@northeastern.edu 
Olin College of Engineering,admissions@olin.edu 
Salem State University,admissions@salemstate.edu 
Simmons College,admissions@simmons.edu 
Smith College,admissions@smith.edu 
Spa Tech Institute,admissions@spatech.edu 
Springfield College,admissions@springfieldcollege.edu 
Springfield Technical Community College,admissions@stcc.edu 
Suffolk University,admissions@suffolk.edu 
Boston Architectural College,admissions@the-bac.edu 
Tufts University,admissions@tufts.edu 
University of Massachusetts Amherst,admissions@umass.edu 
University of Massachusetts Dartmouth,admissions@umassd.edu 
University of Massachusetts Medical School,admissions@umassmed.edu 
University of Massachusetts,admissions@umassp.edu 
University of Massachusetts Boston,admissions@umb.edu 
University of Massachusetts Lowell,admissions@uml.edu 
Wellesley College,admissions@wellesley.edu 
"Wheaton College, Norton ",admissions@wheatoncollege.edu 
Wheelock College,admissions@wheelock.edu 
Williams College,admissions@williams.edu 
Western New England University,admissions@wne.edu 
Worcester State University,admissions@worcester.edu 
Worcester Polytechnic Institute,admissions@wpi.edu 
Anne Arundel Community College,admissions@aacc.edu 
Baltimore City Community College,admissions@bccc.edu 
Bowie State University,admissions@bowiestate.edu 
Carroll Community College,admissions@carrollcc.edu 
The Community College of Baltimore County,admissions@ccbcmd.edu 
Chesapeake College,admissions@chesapeake.edu 
Coppin State University,admissions@coppin.edu 
College of Southern Maryland,admissions@csmd.edu 
Frederick Community College,admissions@frederick.edu 
Frostburg State University,admissions@frostburg.edu 
Garrett College,admissions@garrettcollege.edu 
Goucher College,admissions@goucher.edu 
Hagerstown Community  College,admissions@hagerstowncc.edu 
Harford Community College,admissions@harford.edu 
Hood College,admissions@hood.edu 
Howard Community College,admissions@howardcc.edu 
Johns Hopkins Bloomberg School of Public Health,admissions@jhsph.edu 
Johns Hopkins University,admissions@jhu.edu 
Loyola University Maryland,admissions@loyola.edu 
Montgomery Blair High School,admissions@mbhs.edu 
McDaniel College,admissions@mcdaniel.edu 
Maryland Institute College of Art,admissions@mica.edu 
Montgomery College,admissions@montgomerycollege.edu 
Mount Saint Mary’s University,admissions@msmary.edu 
Maryland University of Integrative Health,admissions@muih.edu 
Prince George’s Community College,admissions@pgcc.edu 
Salisbury University,admissions@salisbury.edu 
Sojourner-Douglass College,admissions@sdc.edu 
Saint Mary’s College of Maryland,admissions@smcm.edu 
Saint James School,admissions@stjames.edu 
Towson University,admissions@towson.edu 
University of  Baltimore,admissions@ubalt.edu 
University of Maryland,admissions@umaryland.edu 
University of  Maryland Baltimore County,admissions@umbc.edu 
University of Maryland,admissions@umd.edu 
University of Maryland University College,admissions@umuc.edu 
University System of Maryland,admissions@usmd.edu 
United States Naval Academy,admissions@usna.edu 
Washington College,admissions@washcoll.edu 
Wor-Wic Community College,admissions@worwic.edu 
Saint John’s College,admissions@sjc.edu 
Bates College,admissions@bates.edu 
Bowdoin College,admissions@bowdoin.edu 
Central Maine Community College,admissions@cmcc.edu 
College of the Atlantic,admissions@coa.edu 
Colby College,admissions@colby.edu 
Husson University,admissions@husson.edu 
Maine Maritime Academy,admissions@mainemaritime.edu 
Northern Maine Community College,admissions@nmcc.edu 
Saint Joseph’s College,admissions@sjcme.edu 
Southern Maine Community College,admissions@smccme.edu 
University of Maine,admissions@umaine.edu 
University of Maine Fort Kent,admissions@umfk.edu 
University of Maine at Presque Isle,admissions@umpi.edu 
University of New England,admissions@une.edu 
Unity College,admissions@unity.edu 
York County Community College,admissions@yccc.edu 
University of Main at Augusta,admissions@uma.edu 
Adrian College,admissions@adrian.edu 
Albion College,admissions@albion.edu 
Alma College,admissions@alma.edu 
Alpena Community College,admissions@alpenacc.edu 
Andrews University,admissions@andrews.edu 
Aquinas College,admissions@aquinas.edu 
Baker College,admissions@baker.edu 
Bay College,admissions@baycollege.edu 
Calvin College,admissions@calvin.edu 
Central Michigan University,admissions@cmich.edu 
College for Creative Studies,admissions@collegeforcreativestudies.edu 
Cornerstone University,admissions@cornerstone.edu 
Davenport University,admissions@davenport.edu 
Delta College,admissions@delta.edu 
Douglas J. Aveda Institute,admissions@douglasj.edu 
Eastern Michigan University,admissions@emich.edu 
Ferris State University,admissions@ferris.edu 
Finlandia University,admissions@finlandia.edu 
Grand Rapids Community College,admissions@grcc.edu 
Grand Valley State University,admissions@gvsu.edu 
Henry Ford College,admissions@hfcc.edu 
Hillsdale College,admissions@hillsdale.edu 
Hope College,admissions@hope.edu 
Jackson College,admissions@jccmi.edu 
Kettering University,admissions@kettering.edu 
Kalamazoo Valley Community College,admissions@kvcc.edu 
Kalamazoo College,admissions@kzoo.edu 
Lake Michigan College,admissions@lakemichigancollege.edu 
Lansing Community College,admissions@lcc.edu 
Lake Superior State University,admissions@lssu.edu 
Lawrence Technological University,admissions@ltu.edu 
Macomb Community College,admissions@macomb.edu 
Marygrove College,admissions@marygrove.edu 
Monroe County Community College,admissions@monroeccc.edu 
Michigan State University,admissions@msu.edu 
Michigan Technological University,admissions@mtu.edu 
Northwestern Michigan College,admissions@nmc.edu 
Northern Michigan University,admissions@nmu.edu 
Oakland Univeristy,admissions@oakland.edu 
Oakland Community College,admissions@oaklandcc.edu 
Saginaw Chippewa Tribal College,admissions@sagchip.edu 
Saginaw Valley State University,admissions@svsu.edu 
University of Detroit Mercy,admissions@udmercy.edu 
University of Michigan-Flint,admissions@umflint.edu 
University of Michigan,admissions@umich.edu 
Wayne State,admissions@wayne.edu 
Washtenaw Community College,admissions@wccnet.edu 
Western Michigan University,admissions@wmich.edu 
Alexandria Technical & Community College,admissions@alextech.edu 
Anoka-Ramsey Community College,admissions@anokaramsey.edu 
Augsburg College,admissions@augsburg.edu 
Bemidji State University,admissions@bemidjistate.edu 
Bethel University,admissions@bethel.edu 
Carleton College,admissions@carleton.edu 
Century College,admissions@century.edu 
Central Lakes College,admissions@clcmn.edu 
Concordia College,admissions@cord.edu 
Crown College,admissions@crown.edu 
"College of Saint Benedict, Saint John’s University ",admissions@csbsju.edu 
Concordia University Saint Paul,admissions@csp.edu 
The College of Saint Scholastica,admissions@css.edu 
Dakota County Technical College,admissions@dctc.edu 
Gustavus Adolphus College,admissions@gustavus.edu 
Globe University,admissions@globeuniversity.edu 
Hamline University,admissions@hamline.edu 
Inver Hills Community College,admissions@inverhills.edu 
Institute of Production and Recording,admissions@ipr.edu 
Leech Lake Tribal College,admissions@lltc.edu 
Luther Seminary,admissions@luthersem.edu 
Macalester College,admissions@macalester.edu 
McNally Smith College of Music,admissions@mcnallysmith.edu 
Mesabi Range College,admissions@mesabirange.edu 
Metropolitan State University,admissions@metrostate.edu 
Minnesota State University Moorhead,admissions@mnstate.edu 
Minnesota State University Mankato,admissions@mnsu.edu 
North Hennepin Community College,admissions@nhcc.edu 
Normandale Community College,admissions@normandale.edu 
Rasmussen College,admissions@rasmussen.edu 
Ridgewater College,admissions@ridgewater.edu 
Southwest Minnesota State University,admissions@smsu.edu 
Saint Mary’s University of Minnesota,admissions@smumn.edu 
South Central College,admissions@southcentral.edu 
Saint Cloud State  University,admissions@stcloudstate.edu 
Saint Olaf College,admissions@stolaf.edu 
University of Saint Thomas,admissions@stthomas.edu 
University of Minnesota,admissions@umn.edu 
United Theological Seminary of the Twin Cities,admissions@unitedseminary.edu 
University of Northwestern Saint Paul,admissions@unwsp.edu 
Walden University,admissions@waldenu.edu 
Winona State Unviversity,admissions@winona.edu 
Assemblies of God Theological Seminary,admissions@agts.edu 
Aquinas Institute of Theology,admissions@ai.edu 
A.T. Still University,admissions@atsu.edu 
Avila University,admissions@avila.edu 
Columbia College,admissions@ccis.edu 
Central Methodist University,admissions@centralmethodist.edu 
Crowder College,admissions@crowder.edu 
Culver-Stockton College,admissions@culver.edu 
Drury University,admissions@drury.edu 
Evangel University,admissions@evangel.edu 
Fontbonne University,admissions@fontbonne.edu 
Hannibal-LaGrange,admissions@hlg.edu 
Harris-Stowe State University,admissions@hssu.edu 
Jefferson College,admissions@jeffco.edu 
Kansas City University of Medicine and Biosciences,admissions@kcumb.edu 
Lincoln University,admissions@lincolne.edu 
Lindenwood University,admissions@lindenwood.edu 
Linn State Technical College,admissions@linnstate.edu 
Maryville University,admissions@maryville.edu 
Metropolitan Community College,admissions@mcckc.edu 
Mineral Area College,admissions@mineralarea.edu 
Mizzou University of Missouri,admissions@missouri.edu 
Missouri State University,admissions@missouristate.edu 
Missouri Valley College,admissions@moval.edu 
Missouri Southern State  University,admissions@mssu.edu 
Missouri University of Science and Technology,admissions@mst.edu 
North Central Missouri College,admissions@ncmissouri.edu 
Nazarene Theological Seminary,admissions@nts.edu 
Northwest Missouri State University,admissions@nwmissouri.edu 
Ozarks Technical Community College,admissions@otc.edu 
Park University,admissions@park.edu 
Rockhurst University,admissions@rockhurst.edu 
Southwest Baptist University,admissions@sbuniv.edu 
South Central Career Center,admissions@scccwp.edu 
Southeast Missouri State University,admissions@semo.edu 
Saint Louis University,admissions@slu.edu 
Saint Charles Community College,admissions@stchas.edu 
Saint Louis Community College,admissions@stlcc.edu 
Truman State University,admissions@truman.edu 
University of Central Missouri,admissions@ucmo.edu 
University of Missouri Kansas City,admissions@umkc.edu 
University of Missouri Saint Louis,admissions@umsl.edu 
University of Missouri System,admissions@umsystem.edu 
Webster University,admissions@webster.edu 
"Westminster College, Missouri ",admissions@westminster-mo.edu 
Washington University in Saint Louis,admissions@wustl.edu 
Alcorn State University,admissions@alcorn.edu 
Belhaven University,admissions@belhaven.edu 
Delta State University,admissions@deltastate.edu 
East Mississippi Community College,admissions@eastms.edu 
Jackson State University,admissions@jsums.edu 
Mississippi Gulf Coast Community College,admissions@mgccc.edu 
Mississippi State University,admissions@mssstate.edu 
Northeast Mississippi Community College,admissions@nemcc.edu 
The University of Mississippi,admissions@olemiss.edu 
Pearl River Community College,admissions@prcc.edu 
Reformed Theological Seminary,admissions@rts.edu 
University of Mississippi Medical Center,admissions@umc.edu 
University of Southern Mississippi,admissions@usm.edu 
William Carey University,admissions@wmcarey.edu 
Itawamba Community College,admissions@iccms.edu 
Blackfeet Community College,admissions@bfcc.edu 
Carroll College,admissions@carroll.edu 
Fort Peck Community College,admissions@fpcc.edu 
Flathead Valley Community College,admissions@fvcc.edu 
Miles Community College,admissions@milescc.edu 
Montana State University,admissions@montana.edu 
Montana State University Billings,admissions@msubillings.edu 
Montana State University – Northern,admissions@msun.edu 
Montana Tech of the University of Montana,admissions@mtech.edu 
Montana University System,admissions@mus.edu 
Rocky Mountain College,admissions@rocky.edu 
University of Montana Helena College,admissions@umhelena.edu 
University of Montana,admissions@umt.edu 
University of Montana Western,admissions@umwestern.edu 
Asheville-Buncombe Technical Community College,admissions@abtech.edu 
Alamance Community College,admissions@alamancecc.edu 
Appalachian State University,admissions@appstate.edu 
Bladen Community College,admissions@bladencc.edu 
Body Therapy Institute,admissions@bti.edu 
Campbell University,admissions@campbell.edu 
Cape Fear Community College,admissions@cfcc.edu 
Charlotte School of Law,admissions@charlottelaw.edu 
Chowan University,admissions@chowan.edu 
Central Piedmont Community College,admissions@cpcc.edu 
Craven Community College,admissions@cravencc.edu 
Davidson College,admissions@davidson.edu 
Duke University,admissions@duke.edu 
Durham Technical Community College,admissions@durhamtech.edu 
Elizabeth City State University,admissions@ecsu.edu 
East Carolina University,admissions@ecu.edu 
Elon University,admissions@elon.edu 
Fayetteville Technical Community College,admissions@faytechcc.edu 
Forsyth Technical Community College,admissions@forsythtech.edu 
Gardner-Webb University,admissions@gardner-webb.edu 
Gaston College,admissions@gaston.edu 
Guilford Technical Community College,admissions@gtcc.edu 
Heritage Bible College,admissions@heritagebiblecollege.edu 
High Point University,admissions@highpoint.edu 
Isothermal Community College,admissions@isothermal.edu 
Lenoir Community College,admissions@lenoircc.edu 
Lees McRae College,admissions@lmc.edu 
Methodist University,admissions@methodist.edu 
The University of Mount Olive,admissions@umo.edu 
Montgomery Community College,admissions@montgomery.edu 
North Carolina Central University,admissions@nccu.edu 
North Carolina School of Science and Mathematics,admissions@ncssm.edu 
North Carolina State University,admissions@ncsu.edu 
North Carolina Wesleyan College,admissions@ncwc.edu 
New Life Theological Seminary,admissions@nlts.edu 
University of North Carolina,admissions@northcarolina.edu 
Piedmont Community College,admissions@piedmontcc.edu 
Pitt Community College,admissions@pittcc.edu 
Queens University of Charlotte,admissions@queens.edu 
Randolph Community College,admissions@randolph.edu 
Roanoke-Chowan Community College,admissions@roanokechowan.edu 
Salem College,admissions@salem.edu 
Sampson Community College,admissions@sampsoncc.edu 
Sandhills Community College,admissions@sandhills.edu 
Saint Andrews University,admissions@sapc.edu 
Southeastern Community College,admissions@sccnc.edu 
Southeastern Baptist Theological Seminary,admissions@sebts.edu 
Shaw University,admissions@shawu.edu 
Southwestern Community College,admissions@southwesterncc.edu 
South Piedmont Community College,admissions@spcc.edu 
Stanly Community College,admissions@stanly.edu 
Saint Augustine’s University,admissions@st-aug.edu 
University of North Carolina at Chapel Hill,admissions@unc.edu 
University of North Carolina Asheville,admissions@unca.edu 
University of North Carolina Charlotte,admissions@uncc.edu 
University of North Carolina Greensboro,admissions@uncg.edu 
University of North Carolina Pembroke,admissions@uncp.edu 
University of North Carolina School of the Arts,admissions@uncsa.edu 
University of North Carolina Wilmington,admissions@uncw.edu 
Vance-Granville Community College,admissions@vgcc.edu 
Wake Technical Community College,admissions@waketech.edu 
Warren Wilson College,admissions@warren-wilson.edu 
Western Carolina University,admissions@wcu.edu 
Wake Forest University,admissions@wfu.edu 
Western Piedmont Community College,admissions@wpcc.edu 
Winston-Salem State University,admissions@wssu.edu 
Dakota College at Bottineau,admissions@dakotacollege.edu 
Mayville State University,admissions@mayvillestate.edu 
Minot State University,admissions@minotstateu.edu 
North Dakota State University,admissions@ndsu.edu 
North Dakota University System,admissions@ndus.edu 
Turtle Mountain Community College,admissions@tm.edu 
University of North Dakota,admissions@und.edu 
United Tribes Technical College,admissions@utcc.edu 
Valley City State University,admissions@vcsu.edu 
Williston State College,admissions@willistonstate.edu 
Bellevue University,admissions@bellevue.edu 
Bryan College of Health Sciences,admissions@bryanhealth.com 
Creighton University,admissions@creighton.edu 
Chadron State College,admissions@csc.edu 
Concordia University Nebraska,admissions@cune.edu 
Joseph’s College,admissions@josephscollege.edu 
Little Priest Tribal College,admissions@littlepriest.edu 
Mid-Plains Community College,admissions@mpcc.edu 
University of Nebraska,admissions@nebraska.edu 
Northeast Community College,admissions@northeast.edu 
Union College,admissions@ucollege.edu 
University of Nebraska at Kearney,admissions@unk.edu 
University of Nebraska at Lincoln,admissions@unl.edu 
University of Nebraska Medical Center,admissions@unmc.edu 
University of Nebraska Omaha,admissions@unomaha.edu 
Wayne State College,admissions@wsc.edu 
Saint Anselm College,admissions@anselm.edu 
Antioch University New England,admissions@antiochne.edu 
Community College System of New Hampshire,admissions@ccsnh.edu 
Colby Sawyer College,admissions@colby-sawyer.edu 
Dartmouth College,admissions@dartmouth.edu 
Phillips Exeter Academy,admissions@exeter.edu 
Granite State College,admissions@granite.edu 
Keene State College,admissions@keene.edu 
Manchester Community College,admissions@mccnh.edu 
Mount Washington College,admissions@mountwashington.edu 
Nashua Community College,admissions@nashuacc.edu 
New England College,admissions@nec.edu 
NHTI Concord’s Community College,admissions@nhti.edu 
Plymouth State University,admissions@plymouth.edu 
Rivier University,admissions@rivier.edu 
Southern New Hampshire University,admissions@snhu.edu 
University of New Hampshire,admissions@unh.edu 
White Mountains Community College,admissions@wmcc.edu 
Atlantic Cape Community College,admissions@atlantic.edu 
Burlington County College,admissions@bcc.edu 
Bergen Community College,admissions@bergen.edu 
Brookdale Community College,admissions@brookdalecc.edu 
Centenary College of New Jersey,admissions@centenarycollege.edu 
Drew University,admissions@drew.edu 
Eastwick College,admissions@eastwickcollege.edu 
Fairleigh Dickinson University,admissions@fdu.edu 
Felician College,admissions@felician.edu 
Fortis Institute,admissions@fortis.edu 
Georgian Court University,admissions@georgian.edu 
Kean University,admissions@kean.edu 
Mercer County Community  College,admissions@mccc.edu 
Middlesex County College,admissions@middlesexcc.edu 
Monmouth University,admissions@monmouth.edu 
Montclair State University,admissions@montclair.edu 
New Jersey City University,admissions@njcu.edu 
New Jersey Institute of Technology,admissions@njit.edu 
Ocean County College,admissions@ocean.edu 
Princeton University,admissions@princeton.edu 
Princeton Theological Seminary,admissions@ptsem.edu 
Ramapo College of New Jersey,admissions@ramapo.edu 
Raritan Valley Community College,admissions@raritanval.edu 
Rider University,admissions@rider.edu 
Rowan University,admissions@rowan.edu 
Rutgers University,admissions@rutgers.edu 
Seton Hall University,admissions@shu.edu 
Stenotech Career Institute,admissions@stenotech.edu 
Stevens Institute of Technology,admissions@stevens.edu 
Stockton College,admissions@stockton.edu 
Sussex County Community College,admissions@sussex.edu 
The College of New Jersey,admissions@tcnj.edu 
Thomas Edison State College,admissions@tesc.edu 
William Paterson University,admissions@wpunj.edu 
County College of Morris,admissions@ccm.edu 
Camden County College,admissions@camdencc.edu 
Passaic County Community College,admissions@pccc.edu 
Ross University,admissions@rossu.edu 
Central New Mexico,admissions@cnm.edu 
Eastern New Mexico University,admissions@enmu.edu 
New Mexico Highlands University,admissions@nmhu.edu 
New Mexico State University,admissions@nmsu.edu 
New Mexico State University Alamogordo,admissions@nmsua.edu 
New Mexico Institute of Mining and Technology,admissions@nmt.edu 
Northern New Mexico College,admissions@nnmc.edu 
San Juan College,admissions@sanjuancollege.edu 
Southwestern College,admissions@swc.edu 
Univeristy of New Mexico,admissions@unm.edu 
University of the Southwest,admissions@usw.edu 
College of Southern Nevada,admissions@csn.edu 
Great Basin College,admissions@gbcnv.edu 
Pima Medical Institute,admissions@pmi.edu 
Sierra Nevada College,admissions@sierranevada.edu 
Truckee Meadows Community College,admissions@tmcc.edu 
University of Nevada Las Vegas,admissions@unlv.edu 
University of Nevada Reno,admissions@unr.edu 
Western Nevada College,admissions@wnc.edu 
Adelphi University,admissions@adelphi.edu 
University at Albany,admissions@albany.edu 
Alfred University,admissions@alfred.edu 
The American Musical and Dramatic Academy,admissions@amda.edu 
ASA College,admissions@asa.edu 
Bard College,admissions@bard.edu 
Barnard College,admissions@barnard.edu 
Binghamton University,admissions@binghamton.edu 
The College at Brockport,admissions@brockport.edu 
University at Buffalo,admissions@buffalo.edu 
Buffalo State University,admissions@buffalostate.edu 
Cazenovia College,admissions@cazenovia.edu 
Clarkson University,admissions@clarkson.edu 
Clinton Community College,admissions@clinton.edu 
The College of New Rochelle,admissions@cnr.edu 
Cobleskill University,admissions@cobleskill.edu 
Colgate University,admissions@colgate.edu 
Columbia University in the City of New York,admissions@columbia.edu 
Concordia College New York,admissions@concordia-ny.edu 
The Cooper Union,admissions@cooper.edu 
Cornell University,admissions@cornell.edu 
Cortland College,admissions@cortland.edu 
The City University of New York,admissions@cuny.edu 
The College of Westchester,admissions@cw.edu 
Daemen College,admissions@daemen.edu 
Dominican College,admissions@dc.edu 
Delhi State University of New York,admissions@delhi.edu 
Dowling College,admissions@dowling.edu 
D’Youville College,admissions@dyc.edu 
Erie Community College State University of New York,admissions@ecc.edu 
Elim Bible Institute,admissions@elim.edu 
Elmira College,admissions@elmira.edu 
Empire State College,admissions@esc.edu 
College of Environmental Science and Forestry,admissions@esf.edu 
Farmingdale State College,admissions@farmingdale.edu 
Fashion Institute of Technology,admissions@fitnyc.edu 
Finger Lakes Community College,admissions@flcc.edu 
Fordham University,admissions@fordham.edu 
Fredonia University,admissions@fredonia.edu 
Five Towns College,admissions@ftc.edu 
Geneseo University,admissions@geneseo.edu 
Globe Institute of Technology,admissions@globe.edu 
The General Theological Seminary,admissions@gts.edu 
Hamilton College,admissions@hamilton.edu 
Hartwick College,admissions@hartwick.edu 
Herkimer College,admissions@herkimer.edu 
Hofstra University,admissions@hofstra.edu 
Hudson Valley Community College,admissions@hvcc.edu 
Hobart and William Smith Colleges,admissions@hws.edu 
Institute of Design and Construction,admissions@idc.edu 
Iona College,admissions@iona.edu 
Ithaca College,admissions@ithaca.edu 
The Jewish Theological Seminary,admissions@jtsa.edu 
The Juilliard School,admissions@juilliard.edu 
Keuka College,admissions@keuka.edu 
Lehman College,admissions@lehman.edu 
Le Moyne,admissions@lemoyne.edu 
Lim College,admissions@limcollege.edu 
Long Island University,admissions@liu.edu 
Manhattan College,admissions@manhattan.edu 
Marist College,admissions@marist.edu 
Metropolitan College of New York,admissions@mcny.edu 
Mercy College,admissions@mercy.edu 
Marymount Manhattan College,admissions@mmm.edu 
Monroe Community College,admissions@monroecc.edu 
Morrisville State College,admissions@morrisville.edu 
Mount Saint Marry College,admissions@msmc.edu 
Icahn School of Medicine at Mount Sinai,admissions@mssm.edu 
Manhattanville College,admissions@mville.edu 
Nazareth College,admissions@naz.edu 
Nassau Community College,admissions@ncc.edu 
New Paltz,admissions@newpaltz.edu 
The New School,admissions@newschool.edu 
Niagara University,admissions@niagara.edu 
Nyack College,admissions@nyack.edu 
New York College of Health Professions,admissions@nycollege.edu 
New York Film Academy,admissions@nyfa.edu 
New York Institute of Technology,admissions@nyit.edu 
New York University,admissions@nyu.edu 
State University of New York at Oneonta,admissions@oneonta.edu 
State University of New York at Oswego,admissions@oswego.edu 
Pace University,admissions@pace.edu 
Paul Smith’s College,admissions@paulsmiths.edu 
State University of New York at Plattsburgh,admissions@plattsburgh.edu 
State University of New York at Potsdam,admissions@potsdam.edu 
Pratt Institute,admissions@pratt.edu 
Purchase College,admissions@purchase.edu 
Rochester Institute of Technology,admissions@rit.edu 
Roberts Wesleyan College,admissions@roberts.edu 
University of Rochester,admissions@rochester.edu 
Rensselaer Polytechnic Institute,admissions@rpi.edu 
The Sages Colleges,admissions@sage.edu 
Saint Bonaventure University,admissions@sbu.edu 
The New York Conservatory for Dramatic Arts,admissions@sft.edu 
Siena College,admissions@siena.edu 
Saint John Fisher College,admissions@sjfc.edu 
Skidmore College,admissions@skidmore.edu 
Sarah Lawrence College,admissions@slc.edu 
Saint Bernard’s School of Theology and Ministry,admissions@stbernards.edu 
Saint John’s University,admissions@stjohns.edu 
Saint Lawrence University,admissions@stlawu.edu 
Stony Brook University,admissions@stonybrook.edu 
Stony Brook Medicine,admissions@stonybrookmedicine.edu 
The College of Saint Rose,admissions@strose.edu 
State University of New York,admissions@suny.edu 
State University of New York at Adirondack,admissions@sunyacc.edu 
State University of New Institute of Technology,admissions@sunyit.edu 
Jamestown Community College,admissions@sunyjcc.edu 
Orange County Community College,admissions@sunyorange.edu 
Rockland Community College,admissions@sunyrockland.edu 
Suffolk County Community College,admissions@sunysuffolk.edu 
Westchester Community College,admissions@sunywcc.edu 
Syracuse University,admissions@syr.edu 
